ParticipantID,ParticipantSex,ParticipantAge,SexOrientation,SPEAKER_HEALTH,PHYSICAL_RATING,SOCIAL_RATING,DOM_MEAN
27,0,26,1,1, ,6.2, 
27,0,26,1,2,6.1,6.3,6.2
97,0,27,1,1,8,5.2,6.6
97,0,27,1,2,8.1,5.4,6.75
31,0,36,1,1,5.6,7.4,6.5
31,0,36,1,2,3.3,4.2,3.75
44,0,26,1,1,7.3,8,7.65
44,0,26,1,2,7.8,8.4,8.1
43,0,33,3,1,3.7,6,4.85
43,0,33,3,2,4.4,4.3,4.35
113,0,28,1,1,7.9,7.2,7.55
113,0,28,1,2,7.4,8.4,7.9
13,0,26,1,1,7.7,7.9,7.8
13,0,26,1,2,7.4,7.5,7.45
57,0,26,1,1,7.2,6.2,6.7
57,0,26,1,2,4.8,4.3,4.55
2,0,30,1,1,4.3,5,4.65
2,0,30,1,2,5.7,4.8,5.25
93,0,27,1,1,4.9,6.1,5.5
93,0,27,1,2,3.1,4.7,3.9
51,0,35,1,1,6.5,4.6,5.55
51,0,35,1,2,4.5,5.4,4.95
119,0,35,1,1,6.1,6.7,6.4
119,0,35,1,2,4.5,6.5,5.5
35,0,51,1,1,5.3,4,4.65
35,0,51,1,2,4.3,5.4,4.85
16,0,33,1,1,5.6,4.1,4.85
16,0,33,1,2,3.6,4.8,4.2
117,0,26,3,1,4.5,4.9,4.7
117,0,26,3,2,5.5,4.5,5
60,0,30,1,1,5.6,5.8,5.7
60,0,30,1,2,5.9,4.3,5.1
20,0,26,1,1,6,4.8,5.4
20,0,26,1,2,4.7,6.1,5.4
73,0,32,1,1,3.7,4,3.85
73,0,32,1,2,3.4,3.8,3.6
104,0,25,1,1,5.8,5.7,5.75
104,0,25,1,2,4.3,3.3,3.8
63,0,30,1,1,6.9,6.2,6.55
63,0,30,1,2,5.8,4.8,5.3
70,0,23,1,1,5,5.6,5.3
70,0,23,1,2,4.4,6,5.2
118,0,29,3,1,6.2,7.2,6.7
118,0,29,3,2,6.3,6.8,6.55
75,0,28,1,1,7.1,6.9,7
75,0,28,1,2,6.9,6.9,6.9
100,0,38,1,1,5.4,5.6,5.5
100,0,38,1,2,5.6,4.3,4.95
55,0,21,1,1,5.7,5.7,5.7
55,0,21,1,2,3.2,4.1,3.65
67,0,23,1,1,4.3,4.1,4.2
67,0,23,1,2,3.8,4.3,4.05
40,0,21,1,1,5.7,5.6,5.65
40,0,21,1,2,4.1,3.5,3.8
26,0,28,1,1,6.7,7.1,6.9
26,0,28,1,2,6.6,6.4,6.5
96,0,49,1,1,4.6,4.8,4.7
96,0,49,1,2,4.6,3.8,4.2
11,0,56,1,1,6.5,5.7,6.1
11,0,56,1,2,4.2,4.6,4.4
14,0,27,1,1,4.9,4.7,4.8
14,0,27,1,2,3,4,3.5
66,0,35,1,1,5.3,5.8,5.55
66,0,35,1,2,3.8,5.2,4.5
54,0,29,1,1,6,6.5,6.25
54,0,29,1,2,4.2,4.5,4.35
77,0,25,3,1,4.6,4.5,4.55
77,0,25,3,2,4.6,4.8,4.7
126,0,32,1,1,6.5,5.7,6.1
126,0,32,1,2,5.7,5.1,5.4
71,0,31,1,1,5.9,4.8,5.35
71,0,31,1,2,4.3,5.1,4.7
12,0,23,1,1,4.4,4.9,4.65
12,0,23,1,2,3.5,3.5,3.5
32,0,27,1,1,6.1,5.7,5.9
32,0,27,1,2,5.1,4.3,4.7
109,0,26,1,1,5,5.9,5.45
109,0,26,1,2,4.9,5.5,5.2
19,0,31,1,1,6.7,5.9,6.3
19,0,31,1,2,4.8,5.3,5.05
23,0,29,1,1,5,4.4,4.7
23,0,29,1,2,4.3,4.5,4.4
25,0,28,1,1,5.2,5.5,5.35
25,0,28,1,2,5.1,4.3,4.7
125,0,32,1,1,5.8,6.4,6.1
125,0,32,1,2,5.5,4.9,5.2
22,0,32,1,1,5.7,6,5.85
22,0,32,1,2,3.9,4.3,4.1
120,0,30,2,1,5.3,5.8,5.55
120,0,30,2,2,3.7,4.3,4
48,0,27,1,1,5.7,5,5.35
48,0,27,1,2,5.3,5.1,5.2
122,0,26,1,1,5.3,5.7,5.5
122,0,26,1,2,5,5.8,5.4
116,0,29,1,1,5.7,5.9,5.8
116,0,29,1,2,5.9,5.6,5.75
128,0,29,1,1,5,5,5
128,0,29,1,2,5,5,5
34,0,37,2,1,5.8,5.3,5.55
34,0,37,2,2,4,4.5,4.25
101,0,51,1,1,6,6.3,6.15
101,0,51,1,2,4.5,4.9,4.7
106,0,35,1,1,5.5,5.3,5.4
106,0,35,1,2,3.9,4.1,4
105,0,62,1,1,5.5,5.1,5.3
105,0,62,1,2,4.4,5.2,4.8
50,0,33,1,1,5.9,6,5.95
50,0,33,1,2,5,4.6,4.8
8,0,33,1,1,5.9,6.1,6
8,0,33,1,2,5,5.8,5.4
29,0,46,1,1,5.6,5,5.3
29,0,46,1,2,4.6,4.8,4.7
74,0,34,1,1,6.3,5.9,6.1
74,0,34,1,2,4.8,5.1,4.95
33,0,25,3,1,4.9,5.1,5
33,0,25,3,2,4.1,4.3,4.2
124,0,32,2,1,5.2,5.3,5.25
124,0,32,2,2,4.7,5.1,4.9
72,0,27,1,1,6.2,6.1,6.15
72,0,27,1,2,5,5.1,5.05
79,0,27,1,1,5.9,6,5.95
79,0,27,1,2,4.8,5.5,5.15
