ParticipantID,ParticipantSex,ParticipantAge,SexOrientation,SPEAKER_HEALTH,LTATT_RATING,STATT_RATING,ATT_MEAN
59,1,27,1,1,9,9,9
59,1,27,1,2,9,9,9
87,1,44,1,1,3.1,1,2.05
87,1,44,1,2,4.4,1,2.7
10,1,52,1,1,2.8,2.4,2.6
10,1,52,1,2,5.1,2.9,4
28,1,25,1,1,7.3,7.4,7.35
28,1,25,1,2,3.9,6.1,5
76,1,29,1,1,5.2,2.3,3.75
76,1,29,1,2,5.1,2,3.55
91,1,29,1,1,3.9,4.9,4.4
91,1,29,1,2,2.4,5.6,4
39,1,32,1,1,6.2,6.6,6.4
39,1,32,1,2,7,4.7,5.85
64,1,28,1,1,4.6,5.1,4.85
64,1,28,1,2,3.3,2,2.65
9,1,32,1,1,7.6,6.3,6.95
9,1,32,1,2,7.7,7.4,7.55
62,1,60,1,1,2.5,2.1,2.3
62,1,60,1,2,2.1,1.9,2
89,1,26,1,1,5.8,6.7,6.25
89,1,26,1,2,6.7,7.4,7.05
42,1,40,1,1,6.8,4.9,5.85
42,1,40,1,2,5.6,5.2,5.4
45,1,38,1,1,4.9,2.8,3.85
45,1,38,1,2,4.6,2.9,3.75
107,1,28,1,1,5.6,4.4,5
107,1,28,1,2,3.7,4.6,4.15
108,1,59,1,1,3.9,4.8,4.35
108,1,59,1,2,3.9,5.5,4.7
99,1,35,1,1,3.5,3.1,3.3
99,1,35,1,2,2.7,1.4,2.05
61,1,24,1,1,5.2,4.9,5.05
61,1,24,1,2,5.9,6.4,6.15
17,1,33,1,1,4.6,5.3,4.95
17,1,33,1,2,3.3,2.9,3.1
69,1,57,1,1,4.8,5.5,5.15
69,1,57,1,2,3.4,3.1,3.25
127,1,55,1,1,5,6.6,5.8
127,1,55,1,2,4.4,4.7,4.55
115,1,21,1,1,6.8,6.2,6.5
115,1,21,1,2,4.8,5.6,5.2
56,1,27,1,1,7.5,7.3,7.4
56,1,27,1,2,6.5,7.2,6.85
110,1,46,1,1,3.2,3,3.1
110,1,46,1,2,2.4,2.6,2.5
68,1,35,1,1,6.3,4.9,5.6
68,1,35,1,2,5.1,5.4,5.25
78,1,43,1,1,5,5.7,5.35
78,1,43,1,2,5.1,6.5,5.8
18,1,42,1,1,6.3,6.8,6.55
18,1,42,1,2,6.7,7,6.85
98,1,40,1,1,6.8,5.4,6.1
98,1,40,1,2,6,5.7,5.85
5,1,30,1,1,5.9,6.1,6
5,1,30,1,2,5.5,4.4,4.95
41,1,34,1,1,4.5,5.1,4.8
41,1,34,1,2,5.4,4.7,5.05
6,1,20,1,1,4,5.3,4.65
6,1,20,1,2,4.1,4.8,4.45
88,1,31,1,1,4.7,6.1,5.4
88,1,31,1,2,4.6,5.8,5.2
38,1,48,1,1,4.5,5.4,4.95
38,1,48,1,2,4,5.6,4.8
95,1,32,1,1,5.6,4.8,5.2
95,1,32,1,2,4.8,5.7,5.25
46,1,41,1,1,4.9,5.4,5.15
46,1,41,1,2,3.6,3.5,3.55
111,1,31,1,1,5.4,6.3,5.85
111,1,31,1,2,4.9,4.6,4.75
65,1,34,1,1,5.2,6.1,5.65
65,1,34,1,2,5.3,4.8,5.05
85,1,45,1,1,4.6,4.2,4.4
85,1,45,1,2,3.3,2.8,3.05
83,1,26,1,1,6.5,5.9,6.2
83,1,26,1,2,6.5,5.8,6.15
121,1,34,1,1,5.3,6.4,5.85
121,1,34,1,2,4.1,5.5,4.8
80,1,36,1,1,4.5,5.6,5.05
80,1,36,1,2,4.4,5.4,4.9
37,1,36,1,1,4.1,3.4,3.75
37,1,36,1,2,3.9,3.8,3.85
92,1,55,1,1,6.3,5.2,5.75
92,1,55,1,2,5.4,4.9,5.15
24,1,27,1,1,5.3,5.9,5.6
24,1,27,1,2,4.6,4.3,4.45
47,1,41,1,1,5.1,5,5.05
47,1,41,1,2,3.9,5.1,4.5
129,1,39,1,1,4.3,3.5,3.9
129,1,39,1,2,4,3.7,3.85
123,1,28,1,1,4.5,4,4.25
123,1,28,1,2,3.4,3.4,3.4
30,1,21,1,1,5,5.2,5.1
30,1,21,1,2,5.2,4.3,4.75
58,1,29,1,1,4.6,5.5,5.05
58,1,29,1,2,4.3,4.4,4.35
112,1,32,1,1,4.8,4.6,4.7
112,1,32,1,2,3.5,3.6,3.55
103,1,35,1,1,4.7,5.4,5.05
103,1,35,1,2,3.7,4.3,4
102,1,32,1,1,5.6,6.3,5.95
102,1,32,1,2,4.7,5.7,5.2
21,1,49,1,1,5.6,5.5,5.55
21,1,49,1,2,4.5,5.5,5
86,1,35,1,1,4.8,4.7,4.75
86,1,35,1,2,5,5,5
36,1,28,1,1,5.7,5,5.35
36,1,28,1,2,4.6,4.6,4.6
53,1,41,1,1,4.8,4.6,4.7
53,1,41,1,2,4.2,4.8,4.5
90,1,35,1,1,4.8,4.8,4.8
90,1,35,1,2,4.4,5,4.7
114,1,41,1,1,5.3,5,5.15
114,1,41,1,2,5.4,5,5.2
4,1,24,1,1,5,5.4,5.2
4,1,24,1,2,4.8,5.1,4.95
