ParticipantID,VTL_MANIPULATION,Physical_Dominance_VTL,Social_Dominance_VTL,Overall_Dominance_VTL
9,1,4.75,4.5,4.625
9,2,3.5,3.25,3.375
28,1,3.25,3.25,3.25
28,2,3.75,2.75,3.25
54,1,3.25,3.5,3.375
54,2,4.25,2,3.125
13,1,3,2.75,2.875
13,2,4.5,5,4.75
72,1,5,2.5,3.75
72,2,2.25,2.75,2.5
42,1,7.25,4.5,5.875
42,2,2.5,6,4.25
75,1,6.25,5,5.625
75,2,3.75,6,4.875
79,1,7,5,6
79,2,3.75,1,2.375
73,1,4.25,3.75,4
73,2,5.75,4.75,5.25
64,1,6.25,3.25,4.75
64,2,2.5,4,3.25
8,1,4,4.5,4.25
8,2,4,2.5,3.25
11,1,6.5,4.25,5.375
11,2,3.5,4,3.75
58,1,4.25,3.75,4
58,2,3.75,3,3.375
24,1,6,6.75,6.375
24,2,4,3.5,3.75
86,1,7.25,8.25,7.75
86,2,8.25,7.75,8
27,1,8,7.5,7.75
27,2,1.75,3,2.375
15,1,6.75,4,5.375
15,2,2.75,5,3.875
4,1,5.25,2.75,4
4,2,1.25,3.25,2.25
1,1,6.75,7,6.875
1,2,2.5,2,2.25
48,1,6,4.75,5.375
48,2,2.5,3.75,3.125
81,1,4.5,5.25,4.875
81,2,6.25,5.5,5.875
38,1,5.5,5.25,5.375
38,2,2.75,3.5,3.125
82,1,3.5,4.5,4
82,2,3.5,3,3.25
69,1,5.75,7.75,6.75
69,2,7,8,7.5
62,1,5.25,5.5,5.375
62,2,1.25,1.75,1.5
53,1,4.25,5.75,5
53,2,3.5,4.25,3.875
35,1,6,7.25,6.625
35,2,6.75,7,6.875
74,1,3.5,4,3.75
74,2,3.5,3.75,3.625
44,1,6.25,4.75,5.5
44,2,1,2,1.5
60,1,4.5,4.75,4.625
60,2,1.5,3.25,2.375
6,1,6,5.25,5.625
6,2,3.25,3.25,3.25
49,1,9,8,8.5
49,2,1,1.25,1.125
33,1,5,4,4.5
33,2,3.5,2.5,3
51,1,6,6.5,6.25
51,2,4,3.75,3.875
46,1,6,6.25,6.125
46,2,2,1.75,1.875
25,1,2.5,4.25,3.375
25,2,2.75,3.5,3.125
52,1,4.5,3.25,3.875
52,2,2,4,3
78,1,7,7,7
78,2,3,3.25,3.125
66,1,6,7.25,6.625
66,2,1.75,2.25,2
45,1,4.75,4.5,4.625
45,2,3.25,3.25,3.25
19,1,5,5.5,5.25
19,2,4.5,3.75,4.125
83,1,3.5,3.75,3.625
83,2,2.75,4.25,3.5
70,1,5.5,6.5,6
70,2,2.5,2,2.25
